,Subjects,Test Session,Accuracy,Electrode Distance,xshift,yshift,Runs
165,1.0,1.0,0.2410625,36.5,-1.4999315738677979,5.012704849243164,1.0
166,1.0,1.0,0.24535,36.5,-0.34235069155693054,-0.11584553122520447,2.0
167,1.0,1.0,0.24625,36.5,-0.2565356492996216,-0.24032998085021973,3.0
168,1.0,1.0,0.246125,36.5,-0.252523809671402,-0.3325606882572174,4.0
169,1.0,1.0,0.4002375,36.5,-0.7656250596046448,-4.523752212524414,5.0
170,1.0,1.0,0.4722625,37.0,-1.0325976610183716,-4.416975021362305,1.0
171,1.0,1.0,0.4661,37.0,-0.9847411513328552,-4.499946594238281,2.0
172,1.0,1.0,0.4746,37.0,-1.0723823308944702,-4.367544651031494,3.0
173,1.0,1.0,0.2755375,37.0,-1.2620811462402344,-0.20051968097686768,4.0
174,1.0,1.0,0.277,37.0,-1.213451623916626,-0.27419281005859375,5.0
175,1.0,1.0,0.2644,37.5,-1.1358970403671265,-0.18985532224178314,1.0
176,1.0,1.0,0.4666125,37.5,-0.9271112680435181,-4.493861675262451,2.0
177,1.0,1.0,0.44485,37.5,-1.033166766166687,-4.142468452453613,3.0
178,1.0,1.0,0.2666,37.5,-1.1520346403121948,-0.053883831948041916,4.0
179,1.0,1.0,0.2516875,37.5,-1.1421828269958496,0.9062572121620178,5.0
180,1.0,1.0,0.4246875,38.0,-1.1955516338348389,-4.500075817108154,1.0
181,1.0,1.0,0.268375,38.0,-1.496864914894104,-0.186134472489357,2.0
182,1.0,1.0,0.26545,38.0,-1.468388319015503,-0.4605657160282135,3.0
183,1.0,1.0,0.431825,38.0,-1.2400082349777222,-4.499998569488525,4.0
184,1.0,1.0,0.2671125,38.0,-1.431868553161621,-0.3169358968734741,5.0
185,1.0,1.0,0.4494375,38.5,-1.3057703971862793,-4.302812576293945,1.0
186,1.0,1.0,0.4408875,38.5,-1.2596185207366943,-4.49967098236084,2.0
187,1.0,1.0,0.2715625,38.5,-1.4862669706344604,-0.17675991356372833,3.0
188,1.0,1.0,0.2807125,38.5,-1.4530538320541382,-0.4799548387527466,4.0
